Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Nature,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée
2024,595,2B,2B280,Silvareccio,2024-02-20 15:02:00,15000,0,15000,0,0,0,,,,,Estimées,1,,Non,,,,
2024,571,66,66003,Amélie-les-Bains-Palalda,2024-02-20 16:00:00,800,800,0,0,0,0,,,,,Estimées,,Malveillance,Non,,,,
2024,20596,11,11198,Laure-Minervois,2024-02-20 17:03:00,5,0,5,0,0,0,,,,,Mesurées,1,Involontaire (particulier),Non,,,,
2024,640,34,34062,Caussiniojouls,2024-02-20 19:07:00,5479,0,5479,0,0,0,,,,,Mesurées,1,Malveillance,Non,,,,
2024,562,6,6031,Cantaron,2024-02-21 10:11:00,5000,0,5000,0,0,0,,,,,Estimées,4,Accidentelle,Non,,,,
2024,600,2B,2B318,Taglio-Isolaccio,2024-02-21 12:04:00,120000,0,120000,0,0,0,,,,,Estimées,1,,Non,,,,
2024,638,34,34245,Saint-Chinian,2024-02-21 15:11:00,22526,22526,0,0,0,0,,,,,Mesurées,1,Involontaire (travaux),Non,,,,
2024,578,66,66179,Saint-Laurent-de-Cerdans,2024-02-21 17:38:00,30,30,0,0,0,0,,,,,Estimées,,Malveillance,Non,,,,
2024,27218,2A,2A359,Zicavo,2024-02-21 18:33:00,40,0,40,0,0,0,,,,,Mesurées,,,Non,,,,
2024,580,66,66216,Trilla,2024-02-21 21:29:00,2290,0,2290,0,0,0,,,,,Mesurées,,Malveillance,Non,,,,
2024,605,2B,2B205,Patrimonio,2024-02-22 18:19:00,1500,0,1500,0,0,0,,,,,Estimées,,,Non,,,,
2024,18747,2B,2B302,San-Giovanni-di-Moriani,2024-02-23 01:06:00,80000,0,80000,0,0,0,,,,,Estimées,1,,Non,,,,
2024,18748,2B,2B343,Venzolasca,2024-02-23 07:53:00,100,0,100,0,0,0,,,,,Estimées,,,Non,,,,
2024,18749,2B,2B205,Patrimonio,2024-02-23 11:26:00,500,0,500,0,0,0,,,,,Estimées,,,Non,,,,
2024,18750,2B,2B245,Porri,2024-02-23 13:51:00,40000,0,40000,0,0,0,,,,,Estimées,1,,Non,,,,
2024,18755,2B,2B242,Poggio-Mezzana,2024-02-24 06:44:00,3150,0,3150,0,0,0,,,,,Estimées,,,Non,,,,
2024,612,34,34269,Saint-Jean-de-Minervois,2024-02-24 10:34:00,5,5,0,0,0,0,,,,,Estimées,,Malveillance,Non,,,,
2024,18756,2B,2B242,Poggio-Mezzana,2024-02-24 11:45:00,1000,0,1000,0,0,0,,,,,Estimées,,,Non,,,,
2024,611,34,34218,Prades-sur-Vernazobre,2024-02-24 12:32:00,827,827,0,0,0,0,,,,,Mesurées,,Malveillance,Non,,,,
2024,18757,2B,2B265,Rutali,2024-02-24 12:37:00,3500,0,3500,0,0,0,,,,,Estimées,,,Non,,,,
2024,18758,2B,2B234,Piobetta,2024-02-24 13:17:00,20,0,20,0,0,0,,,,,Estimées,,,Non,,,,
2024,18759,2B,2B281,Sisco,2024-02-24 14:14:00,20,0,20,0,0,0,,,,,Estimées,,,Non,,,,
2024,19314,13,13092,Saint-Chamas,2024-02-24 14:29:00,50,50,0,0,0,0,,,,,Estimées,1,,Non,,,,
2024,20612,11,11210,Luc-sur-Orbieu,2024-02-24 17:45:00,25,0,25,0,0,0,,,,,Mesurées,1,Accidentelle,Non,,,,
2024,18760,2B,2B230,Piève,2024-02-26 12:17:00,2000,0,2000,0,0,0,,,,,Estimées,,,Non,,,,
2024,19366,74,74031,Beaumont,2024-02-27 11:34:00,50,50,,0,0,0,,,,,Estimées,,Involontaire (travaux),Non,,,,
2024,28831,7,7187,Prunet,2024-02-28 15:24:00,3000,3000,0,0,0,0,,,,,Estimées,3,Involontaire (travaux),Non,,,,
2024,19315,13,13067,Orgon,2024-02-29 13:14:00,150,150,0,0,0,0,,,,,Estimées,1,Involontaire (particulier),Non,,,,
2024,20620,11,11144,Fitou,2024-02-29 17:59:00,15,0,15,0,0,0,,,,,Mesurées,,Accidentelle,Non,,,,
2024,27802,84,84123,Sault,2024-03-02 13:27:00,10100,7300,0,0,0,2800,,,,,Mesurées,,,Non,,,,
2024,18990,30,30258,Saint-Gilles,2024-03-02 15:10:00,1000,1000,0,0,0,0,,,,,Estimées,,,Non,,,,
2024,22477,88,88094,Châtel-sur-Moselle,2024-03-07 14:50:00,100,100,,0,0,0,,,,,Estimées,,,Non,,,,
2024,18702,6,6074,Lantosque,2024-03-07 15:48:00,2500,0,2500,0,0,0,,,,,Estimées,,,Non,,,,
2024,20631,11,11397,Trèbes,2024-03-08 16:45:00,18,0,18,0,0,0,,,,,Mesurées,,Accidentelle,Non,,,,
2024,19133,13,13055,Marseille,2024-03-12 12:40:00,100,0,100,0,0,0,,,,,Estimées,1,,Non,,,,
2024,19067,66,66179,Saint-Laurent-de-Cerdans,2024-03-13 11:32:00,75000,75000,0,0,0,0,,,,,Mesurées,,Involontaire (particulier),Non,,,,
